CULTIVO,Tiempo en semillero,Tipo de bandeja,Tiempo a cosecha,Estado,Semana,Cantidad
Cogollitos  tudela verde,28,128,8,Plan,21,64
Cogollitos  tudela verde,28,128,8,Siembra,21,64
Cogollitos  tudela verde,28,128,8,Trasplante,21,64
Cogollitos  tudela verde,28,128,8,Plan,22,64
Cogollitos  tudela verde,28,128,8,Siembra,22,64
Cogollitos  tudela verde,28,128,8,Trasplante,22,64
Cogollitos  tudela verde,28,128,8,Plan,23,64
Cogollitos  tudela verde,28,128,8,Siembra,23,NA
Cogollitos  tudela verde,28,128,8,Trasplante,23,64
Cogollitos  tudela verde,28,128,8,Plan,24,64
Cogollitos  tudela verde,28,128,8,Siembra,24,NA
Cogollitos  tudela verde,28,128,8,Trasplante,24,64
Cogollitos  tudela verde,28,128,8,Plan,25,64
Cogollitos  tudela verde,28,128,8,Siembra,25,NA
Cogollitos  tudela verde,28,128,8,Trasplante,25,NA
