Fecha	remote_id	remote_name	Variable	Valor
2021-06-24T12:00:00Z	Priva	Exterior	PAR_umolm2s	669.9163000000001
2021-06-24T12:00:00Z	Priva	Exterior	Radiacion_Wm2	293.18
2021-06-24T12:00:00Z	Priva	Exterior	Temperatura_Aire_C	16.13
2021-06-24T12:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	489.52
2021-06-24T12:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.31
2021-06-24T12:00:00Z	Priva	Exterior	Lluvia	1
2021-06-24T13:00:00Z	Priva	Exterior	PAR_umolm2s	408.1467
2021-06-24T13:00:00Z	Priva	Exterior	Radiacion_Wm2	178.62
2021-06-24T13:00:00Z	Priva	Exterior	Temperatura_Aire_C	14.11
2021-06-24T13:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	593.64
2021-06-24T13:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.72
2021-06-24T13:00:00Z	Priva	Exterior	Lluvia	1
2021-06-24T14:00:00Z	Priva	Exterior	PAR_umolm2s	765.6578000000001
2021-06-24T14:00:00Z	Priva	Exterior	Radiacion_Wm2	335.08
2021-06-24T14:00:00Z	Priva	Exterior	Temperatura_Aire_C	13.78
2021-06-24T14:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	672.34
2021-06-24T14:00:00Z	Priva	Exterior	Velocidad_Viento_ms	1.32
2021-06-24T14:00:00Z	Priva	Exterior	Lluvia	1
2021-06-24T15:00:00Z	Priva	Exterior	PAR_umolm2s	758.9399
2021-06-24T15:00:00Z	Priva	Exterior	Radiacion_Wm2	332.14
2021-06-24T15:00:00Z	Priva	Exterior	Temperatura_Aire_C	20.28
2021-06-24T15:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	829.52
